semg,time,class
0.2909290684898058,0.0031206607818603,0
0.276523013063118,0.0058481693267822,0
0.2853131485777072,0.0085475444793701,0
0.2745696496154315,0.0113346576690673,0
0.2718837748748626,0.0140385627746582,0
0.2862898303015504,0.0167403221130371,0
0.2850689781467463,0.0195620059967041,0
0.2694420705652545,0.0222856998443603,0
0.2838481259919423,0.0249977111816406,0
0.2753021609083139,0.0276987552642822,0
0.2740813087535099,0.0304381847381591,0
0.2887315346111585,0.0331437587738037,0
0.2860456598705896,0.0358514785766601,0
0.2735929678915882,0.0385520458221435,0
0.2840922964229031,0.0412871837615966,0
0.2762788426321572,0.0439887046813964,0
0.2762788426321572,0.0466890335083007,0
0.2914174093517274,0.0494201183319091,0
0.2872665120253936,0.0521204471588134,0
0.2745696496154315,0.0548207759857177,0
0.2848248077157855,0.0575230121612548,0
0.2862898303015504,0.0602574348449707,0
0.2833597851300207,0.0629551410675048,0
0.2972774996947869,0.0656538009643554,0
0.294591624954218,0.0683507919311523,0
0.285557319008668,0.0710833072662353,0
0.2882431937492369,0.0737919807434082,0
0.2899523867659626,0.0764985084533691,0
0.2860456598705896,0.0791966915130615,0
0.2963008179709436,0.0819301605224609,0
0.2960566475399828,0.0846266746520996,0
0.2911732389207666,0.0873298645019531,0
0.2853131485777072,0.090052843093872,0
0.2921499206446099,0.0927515029907226,0
0.2862898303015504,0.0954556465148925,0
0.2911732389207666,0.0981538295745849,0
0.2950799658161396,0.1008868217468261,0
0.2909290684898058,0.1035873889923095,0
0.2799413990965693,0.1062891483306884,0
0.2884873641801977,0.1089920997619628,0
0.2814064216823342,0.1117241382598877,0
0.2831156146990599,0.11442232131958,0
0.2948357953851788,0.1171262264251709,0
0.2899523867659626,0.119861364364624,0
0.2753021609083139,0.1225700378417968,0
0.2875106824563544,0.1252791881561279,0
0.2792088878036869,0.1279890537261963,0
0.2794530582346477,0.1307663917541504,0
0.2928824319374923,0.1334762573242187,0
0.2892198754730801,0.1361842155456543,0
0.2743254791844707,0.1388771533966064,0
0.2860456598705896,0.1416139602661132,0
0.276523013063118,0.1443214416503906,0
0.2782322060798436,0.1470284461975097,0
0.2967891588328653,0.1497948169708252,0
0.2950799658161396,0.1525018215179443,0
0.2850689781467463,0.1552050113677978,0
0.295812477109022,0.1579093933105468,0
0.2897082163350017,0.1606497764587402,0
0.2899523867659626,0.1633665561676025,0
0.308753509949945,0.1660752296447754,0
0.308753509949945,0.1687796115875244,0
