current,angle,timestamp
3.1,162.0,1630295632.9898655
0.2,161.83783783783784,1630295632.9935799
1.9000000000000001,161.67567567567568,1630295632.9972334
-0.1,161.51351351351352,1630295633.0008967
0.0,161.35135135135135,1630295633.0047152
-0.2,161.1891891891892,1630295633.0086868
0.0,161.02702702702703,1630295633.0123193
-0.1,160.86486486486487,1630295633.0161915
0.0,160.7027027027027,1630295633.0201743
7.7,160.54054054054055,1630295633.023807
4.9,160.3783783783784,1630295633.0276482
7.7,160.21621621621622,1630295633.0311117
8.200000000000001,160.05405405405406,1630295633.0349545
7.5,159.8918918918919,1630295633.038988
27.200000000000003,159.72972972972974,1630295633.0426018
22.5,159.56756756756758,1630295633.046504
21.6,159.40540540540542,1630295633.0505052
18.2,159.24324324324326,1630295633.05426
19.900000000000002,159.0810810810811,1630295633.0579865
47.0,158.91891891891893,1630295633.0620134
49.0,158.75675675675677,1630295633.0656495
34.800000000000004,158.59459459459458,1630295633.069394
35.9,158.43243243243242,1630295633.0734303
30.700000000000003,158.27027027027026,1630295633.0775437
74.5,158.1081081081081,1630295633.0811784
65.7,157.94594594594597,1630295633.084991
60.400000000000006,157.7837837837838,1630295633.0890055
39.800000000000004,157.62162162162164,1630295633.092611
9.9,157.45945945945945,1630295633.0964808
4.7,157.2972972972973,1630295633.1004577
2.0,157.13513513513513,1630295633.104096
12.200000000000001,156.97297297297297,1630295633.1078331
9.8,156.8108108108108,1630295633.1114602
2.4000000000000004,156.64864864864865,1630295633.115272
0.1,156.48648648648648,1630295633.1192946
5.9,156.32432432432432,1630295633.12291
16.1,156.16216216216216,1630295633.1268098
20.5,156.0,1630295633.1309426
22.0,155.83783783783784,1630295633.1338382
15.4,155.67567567567568,1630295633.1360226
16.1,155.51351351351352,1630295633.138203
48.800000000000004,155.35135135135135,1630295633.1402411
55.900000000000006,155.1891891891892,1630295633.1424596
57.900000000000006,155.02702702702703,1630295633.1446495
42.300000000000004,154.86486486486487,1630295633.146859
36.4,154.7027027027027,1630295633.1490343
28.1,154.54054054054055,1630295633.151218
24.400000000000002,154.3783783783784,1630295633.1534786
7.800000000000001,154.21621621621622,1630295633.155713
5.5,154.05405405405406,1630295633.1579697
17.0,153.8918918918919,1630295633.1600895
29.700000000000003,153.72972972972974,1630295633.1620553
15.5,153.56756756756755,1630295633.1642187
8.0,153.4054054054054,1630295633.1664927
13.600000000000001,153.24324324324323,1630295633.1687064
12.5,153.08108108108107,1630295633.1708765
17.1,152.9189189189189,1630295633.1731515
19.8,152.75675675675674,1630295633.175305
21.200000000000003,152.59459459459458,1630295633.1774588
13.8,152.43243243243242,1630295633.1796668
45.400000000000006,152.27027027027026,1630295633.1818643
33.800000000000004,152.10810810810813,1630295633.1839168
27.0,151.94594594594597,1630295633.1861825
32.7,151.7837837837838,1630295633.1883023
20.8,151.62162162162164,1630295633.1904771
14.200000000000001,151.45945945945948,1630295633.1927004
9.0,151.29729729729732,1630295633.1949039
10.9,151.13513513513516,1630295633.1971357
7.9,150.972972972973,1630295633.1992986
49.300000000000004,150.8108108108108,1630295633.2014012
59.7,150.64864864864865,1630295633.2035694
54.300000000000004,150.48648648648648,1630295633.205711
68.4,150.32432432432432,1630295633.207896
58.900000000000006,150.16216216216216,1630295633.210036
56.900000000000006,150.0,1630295633.2122285
42.900000000000006,149.83783783783784,1630295633.2144043
42.7,149.67567567567568,1630295633.2165914
33.0,149.51351351351352,1630295633.218831
51.2,149.35135135135135,1630295633.2210405
49.7,149.1891891891892,1630295633.2232301
34.7,149.02702702702703,1630295633.225444
35.4,148.86486486486487,1630295633.2274466
32.2,148.7027027027027,1630295633.2296343
16.8,148.54054054054055,1630295633.2318754
18.5,148.3783783783784,1630295633.234029
27.0,148.21621621621622,1630295633.2362127
20.5,148.05405405405406,1630295633.238471
29.400000000000002,147.8918918918919,1630295633.2405965
27.400000000000002,147.72972972972974,1630295633.242765
35.300000000000004,147.56756756756758,1630295633.245058
36.6,147.40540540540542,1630295633.2472634
25.3,147.24324324324326,1630295633.2493713
14.600000000000001,147.0810810810811,1630295633.2515495
8.8,146.9189189189189,1630295633.2536836
5.800000000000001,146.75675675675674,1630295633.255848
5.9,146.59459459459458,1630295633.2580552
32.2,146.43243243243245,1630295633.2607775
16.5,146.2702702702703,1630295633.2647367
27.900000000000002,146.10810810810813,1630295633.2685018
24.6,145.94594594594597,1630295633.272424
21.700000000000003,145.7837837837838,1630295633.2763278
20.8,145.6216216216216,1630295633.2797828
48.0,145.45945945945945,1630295633.283644
59.6,145.2972972972973,1630295633.2876194
43.6,145.13513513513513,1630295633.2912703
12.200000000000001,144.97297297297297,1630295633.295092
19.5,144.8108108108108,1630295633.29913
53.800000000000004,144.64864864864865,1630295633.3027668
51.5,144.48648648648648,1630295633.3066084
4.6000000000000005,144.32432432432432,1630295633.310629
2.6,144.16216216216216,1630295633.3142529
5.9,144.0,1630295633.3179436
21.6,143.83783783783784,1630295633.32156
18.5,143.67567567567568,1630295633.3253593
4.1000000000000005,143.51351351351352,1630295633.3293965
1.6,143.35135135135135,1630295633.3330345
17.5,143.1891891891892,1630295633.3369148
49.1,143.02702702702703,1630295633.3408797
47.400000000000006,142.86486486486487,1630295633.3445845
39.5,142.7027027027027,1630295633.3483384
24.3,142.54054054054055,1630295633.3523502
13.8,142.3783783783784,1630295633.3560245
15.600000000000001,142.21621621621622,1630295633.3596387
35.2,142.05405405405406,1630295633.3632722
31.1,141.8918918918919,1630295633.3669643
21.5,141.7297297297297,1630295633.370493
31.400000000000002,141.56756756756755,1630295633.374233
